product,type,fired at (UTC),change %,old,new,delivery,delivery error
M06 4/128,offer_change,2026-07-15T11:28:12.909Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹364.96 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""}],""price"":13999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹364.96 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
Galaxy M07,offer_change,2026-07-15T11:32:45.977Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":10999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}]}",delivered,
OnePlus Ce6,offer_change,2026-07-15T11:34:12.931Z,,"{""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,233.34 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""price"":39999,""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,233.34 EMI interest savings on select Credit Cards…""}]}",delivered,
Samsung M36,offer_change,2026-07-15T11:37:25.821Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹1,116.62 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹1,116.62 EMI interest savings on select Credit Cards…""},{""type"":""bank_offer"",""description"":""Upto ₹599.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹599.00 cashback as Amazon Pay Balance when…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹1,116.62 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""},{""type"":""bank_offer"",""description"":""Upto ₹599.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":19999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹1,116.62 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""},{""type"":""bank_offer"",""description"":""Upto ₹599.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹1,116.62 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹1,116.62 EMI interest savings on select Credit Cards…""},{""type"":""bank_offer"",""description"":""Upto ₹599.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹599.00 cashback as Amazon Pay Balance when…""}]}",delivered,
Dell G15,offer_change,2026-07-15T11:50:29.182Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹500.00 discount on Punjab National Bank Credit Cards 2 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,189.59 EMI interest savings on Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,519.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹500.00 discount on Punjab National Bank Credit Cards""}]}","{""added"":[{""type"":""other"",""description"":""'Buy a Gaming Laptop and get Logitech G502 Hero Gaming Mouse at Special Price of Rs 1599/- only' Offered by Clicktech Retail Private Ltd View products""}],""price"":83990,""offers"":[{""type"":""other"",""description"":""'Buy a Gaming Laptop and get Logitech G502 Hero Gaming Mouse at Special Price of Rs 1599/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹500.00 discount on Punjab National Bank Credit Cards 2 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,189.59 EMI interest savings on Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,519.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹500.00 discount on Punjab National Bank Credit Cards""}],""removed"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""}]}",delivered,
HP 15 - i5,offer_change,2026-07-15T11:57:49.193Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products'Buy a Laptop or Monitor and get Logitech M196 Blu…""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""}],""price"":74990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products'Buy a Laptop or Monitor and get Logitech M196 Blu…""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
HP Snapdragon X,offer_change,2026-07-15T11:59:41.186Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹5,000.00 discount on select Credit Cards 19 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,399.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹5,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay Later""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹6,277.98 EMI interest savings on select Credit Cards…""}],""price"":79990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹5,000.00 discount on select Credit Cards 19 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,399.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹5,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹6,277.98 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay Later""}]}",delivered,
M06 4/128,offer_change,2026-07-15T12:00:29.926Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹364.96 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":13999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹364.96 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""}]}",delivered,
Galaxy M07,offer_change,2026-07-15T12:00:51.561Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}],""price"":10999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
Narzo 100 Lite,offer_change,2026-07-15T12:03:05.260Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹487.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹526.97 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""price"":16249,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹487.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹526.97 EMI interest savings on select Credit Cards…""}]}",delivered,
OnePlus Ce6,offer_change,2026-07-15T12:05:25.613Z,,"{""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":39999,""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""}]}",delivered,
Asus Vivobook 15,offer_change,2026-07-15T12:26:05.295Z,,"{""offers"":[]}","{""added"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹500.00 discount on Punjab National Bank Credit Cards 2 offers""},{""type"":""bank_offer"",""description"":""Upto ₹1,355.37 EMI interest savings on Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹1,559.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹500.00 discount on Punjab National Bank Credit Cards""}],""price"":51990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹500.00 discount on Punjab National Bank Credit Cards 2 offers""},{""type"":""bank_offer"",""description"":""Upto ₹1,355.37 EMI interest savings on Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹1,559.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹500.00 discount on Punjab National Bank Credit Cards""}],""removed"":[]}",delivered,
Asus Vivobook 15,back_in_stock,2026-07-15T12:26:05.295Z,,"{""stockStatus"":""out_of_stock""}","{""price"":51990,""stockStatus"":""in_stock""}",delivered,
HP Snapdragon X,offer_change,2026-07-15T12:29:45.064Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹5,000.00 discount on select Credit Cards 19 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,399.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹5,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹6,277.98 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay Later""}],""price"":79990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹5,000.00 discount on select Credit Cards 19 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,399.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹5,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay Later""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹6,277.98 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹6,277.98 EMI interest savings on select Credit Cards…""}]}",delivered,
Galaxy M07,offer_change,2026-07-15T12:31:05.546Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":10999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}]}",delivered,
Dell G15,offer_change,2026-07-15T12:45:26.130Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Gaming Laptop and get Logitech G502 Hero Gaming Mouse at Special Price of Rs 1599/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹500.00 discount on Punjab National Bank Credit Cards 2 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,189.59 EMI interest savings on Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,519.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹500.00 discount on Punjab National Bank Credit Cards""}]}","{""added"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""}],""price"":83990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹500.00 discount on Punjab National Bank Credit Cards 2 offers""},{""type"":""bank_offer"",""description"":""Upto ₹2,189.59 EMI interest savings on Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,519.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹500.00 discount on Punjab National Bank Credit Cards""}],""removed"":[{""type"":""other"",""description"":""'Buy a Gaming Laptop and get Logitech G502 Hero Gaming Mouse at Special Price of Rs 1599/- only' Offered by Clicktech Retail Private Ltd View products""}]}",delivered,
